time,qy_1,qy_2,qy_3,qy_4,temp,vpd,co2,eppfd_1,eppfd_2,eppfd_3,eppfd_4,eppfdi_1,eppfdi_2,eppfdi_3,eppfdi_4,ppfd_1,ppfd_2,ppfd_3,ppfd_4,ppfdi_1,ppfdi_2,ppfdi_3,ppfdi_4,eppfd_g,eppfdi_g,date,edli_1,edli_2,edli_3,edli_4,dli_1,dli_2,dli_3,dli_4
2025-04-23T07:00:00Z,0.858,0.79,0.775,0.856,19.93,-0.007,557.5,1.658928,1.829651,1.692726,1.70299,3.393938,3.725184,3.459296,3.499969,1.271966,1.405706,1.349712,1.254362,2.632491,2.866869,2.759399,2.621601,1.823814,3.8488,2025-04-23,0.0014930352,0.0016466859,0.0015234533999999998,0.001532691,0.0011447693999999998,0.0012651353999999998,0.0012147408,0.0011289258
2025-04-23T07:15:00Z,0.84,0.796,0.803,0.8,20.62,-0.01,559.5,8.305284,9.14473,8.474816,8.569379,15.18929,16.7918,15.52722,15.65651,6.398504,6.962147,6.731989,6.447439,11.69161,12.75696,12.30985,11.79614,9.397366,16.3172,2025-04-23,0.0089677908,0.0098769429,0.0091507878,0.0092451321,0.006903423,0.0075310677000000005,0.007273530899999998,0.0069316209
2025-04-23T07:30:00Z,0.836,0.784,0.783,0.834,20.57,-0.001,563.3,19.98914,22.09975,20.3942,20.51332,24.88224,27.57477,25.52681,25.54108,15.48148,16.89289,16.26742,15.6056,19.34331,21.20543,20.40401,19.53165,20.95103,26.6607,2025-04-23,0.026958016799999998,0.0297667179,0.027505567800000002,0.0277071201,0.020836755000000002,0.022734668700000002,0.021914208900000003,0.020976660900000003
2025-04-23T07:45:00Z,0.796,0.759,0.736,0.8,20.72,-0.005,568.3,42.60435,47.26184,43.57315,43.80101,66.03747,74.60825,68.05183,67.4222,33.30312,36.48204,34.98164,33.67224,51.55941,57.67996,54.72017,51.84944,46.99122,72.1196,2025-04-23,0.06530193179999999,0.07230237390000001,0.0667214028,0.0671280291,0.050809563,0.0555685047,0.0533976849,0.051281676899999996
2025-04-23T08:00:00Z,0.777,0.714,0.713,0.773,22.45,0.095,562.4,106.2454,122.3139,107.3798,105.7679,148.2201,173.9794,154.9293,150.5414,81.62762,93.74488,86.33057,80.46803,111.4984,133.0731,129.3624,113.0805,104.149,126.5316,2025-04-23,0.16092279180000002,0.1823848839,0.16336322279999999,0.1623191391,0.12427442099999998,0.1399388967,0.1310951979,0.12370290390000002
2025-04-23T08:15:00Z,0.75,0.69,0.673,0.735,22.88,0.282,554.7,155.9417,210.4453,173.6915,156.546,166.8173,281.7547,167.5308,163.0316,119.8005,160.3358,135.5482,115.6041,130.4753,214.0035,140.0302,119.1299,134.2332,149.4147,2025-04-23,0.30127032179999996,0.37178565389999996,0.3196855728,0.3032105391,0.232094871,0.2842411167,0.25308857790000006,0.22774659390000002
2025-04-23T08:30:00Z,0.788,0.668,0.657,0.758,21.67,0.295,544.5,188.3778,233.6504,195.9616,189.163,192.5423,227.6303,200.7701,196.1295,146.5948,180.8792,157.7536,145.1567,150.5849,176.3198,161.7467,150.8885,182.018,194.3452,2025-04-23,0.47081034180000003,0.5820710139,0.49605101279999997,0.4734572390999999,0.364030191,0.4470323967,0.39506681790000003,0.3583876239
2025-04-23T08:45:00Z,0.754,0.679,0.633,0.727,21.16,0.23,531,210.3931,267.2472,231.9822,258.0495,199.7701,287.7446,203.9729,257.9999,166.9774,208.5185,189.9038,194.3336,164.8126,211.7398,164.2151,195.5276,226.5997,211.6668,2025-04-23,0.6601641318,0.8225934939,0.7048349928000001,0.7057017891,0.5143098509999999,0.6346990467,0.5659802379000001,0.5332878639
2025-04-23T09:00:00Z,0.741,0.68,0.66,0.764,21.07,0.165,530,227.4984,294.5092,207.1616,269.7564,212.8205,266.9998,189.2788,239.8209,195.9928,228.6624,166.314,200.4586,177.7655,214.6318,144.4408,177.7295,207.0042,139.4947,2025-04-23,0.8649126918000001,1.0876517739000002,0.8912804328,0.9484825491,0.6907033709999999,0.8404952067,0.7156628379000001,0.7137006039
2025-04-23T09:15:00Z,0.754,0.66,0.64,0.662,21,0.093,526.1,202.6087,234.8665,195.0261,200.8934,359.4346,266.8929,384.2587,406.6719,160.2807,189.4249,156.5272,149.2051,291.1316,201.9432,316.6293,299.8808,215.3119,524.1152,2025-04-23,1.0472605218000002,1.2990316239,1.0668039228000001,1.1292866091,0.8349560009999999,1.0109776167,0.8565373179,0.8479851939
